"munic_emplacamento","media_idade_automovel","desvp_idade","menor_ano_fabricacao"
"PORTO ALEGRE","14.934199938898713","12.27753413511808",1918
"CAXIAS DO SUL","16.129839536079842","11.973744273703714",1923
"DOM PEDRITO","18.877381385754155","13.523373833338406",1928
"ALVORADA","18.877902667049906","12.18732753681818",1946
"MOSTARDAS","19.205029838022167","12.767585713358606",1954
"SANTA VITORIA DO PALMAR","20.057506131405706","13.577509521799941",1928
